ds,y,avg_duration,std_duration,cold_starts,hour,dayofweek,is_business_hours,is_weekend
1970-01-09 02:55:00,0,0.0,0.0,0,2,4,0,0
1970-01-09 02:56:00,0,0.0,0.0,0,2,4,0,0
1970-01-09 02:57:00,0,0.0,0.0,0,2,4,0,0
1970-01-09 02:58:00,0,0.0,0.0,0,2,4,0,0
1970-01-09 02:59:00,0,0.0,0.0,0,2,4,0,0
1970-01-09 03:00:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:01:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:02:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:03:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:04:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:05:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:06:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:07:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:08:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:09:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:10:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:11:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:12:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:13:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:14:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:15:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:16:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:17:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:18:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:19:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:20:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:21:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:22:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:23:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:24:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:25:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:26:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:27:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:28:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:29:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:30:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:31:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:32:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:33:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:34:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:35:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:36:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:37:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:38:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:39:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:40:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:41:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:42:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:43:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:44:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:45:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:46:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:47:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:48:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:49:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:50:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:51:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:52:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:53:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:54:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:55:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:56:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:57:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:58:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 03:59:00,0,0.0,0.0,0,3,4,0,0
1970-01-09 04:00:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:01:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:02:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:03:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:04:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:05:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:06:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:07:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:08:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:09:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:10:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:11:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:12:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:13:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:14:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:15:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:16:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:17:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:18:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:19:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:20:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:21:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:22:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:23:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:24:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:25:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:26:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:27:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:28:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:29:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:30:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:31:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:32:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:33:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:34:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:35:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:36:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:37:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:38:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:39:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:40:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:41:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:42:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:43:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:44:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:45:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:46:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:47:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:48:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:49:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:50:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:51:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:52:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:53:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:54:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:55:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:56:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:57:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:58:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 04:59:00,0,0.0,0.0,0,4,4,0,0
1970-01-09 05:00:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:01:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:02:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:03:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:04:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:05:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:06:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:07:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:08:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:09:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:10:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:11:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:12:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:13:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:14:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:15:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:16:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:17:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:18:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:19:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:20:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:21:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:22:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:23:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:24:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:25:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:26:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:27:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:28:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:29:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:30:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:31:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:32:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:33:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:34:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:35:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:36:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:37:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:38:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:39:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:40:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:41:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:42:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:43:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:44:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:45:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:46:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:47:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:48:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:49:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:50:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:51:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:52:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:53:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:54:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:55:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:56:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:57:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:58:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 05:59:00,0,0.0,0.0,0,5,4,0,0
1970-01-09 06:00:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:01:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:02:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:03:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:04:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:05:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:06:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:07:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:08:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:09:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:10:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:11:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:12:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:13:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:14:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:15:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:16:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:17:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:18:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:19:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:20:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:21:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:22:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:23:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:24:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:25:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:26:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:27:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:28:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:29:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:30:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:31:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:32:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:33:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:34:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:35:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:36:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:37:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:38:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:39:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:40:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:41:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:42:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:43:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:44:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:45:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:46:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:47:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:48:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:49:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:50:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:51:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:52:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:53:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:54:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:55:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:56:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:57:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:58:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 06:59:00,0,0.0,0.0,0,6,4,0,0
1970-01-09 07:00:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:01:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:02:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:03:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:04:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:05:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:06:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:07:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:08:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:09:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:10:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:11:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:12:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:13:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:14:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:15:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:16:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:17:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:18:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:19:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:20:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:21:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:22:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:23:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:24:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:25:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:26:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:27:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:28:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:29:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:30:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:31:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:32:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:33:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:34:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:35:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:36:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:37:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:38:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:39:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:40:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:41:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:42:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:43:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:44:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:45:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:46:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:47:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:48:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:49:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:50:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:51:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:52:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:53:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:54:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:55:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:56:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:57:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:58:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 07:59:00,0,0.0,0.0,0,7,4,0,0
1970-01-09 08:00:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:01:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:02:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:03:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:04:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:05:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:06:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:07:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:08:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:09:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:10:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:11:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:12:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:13:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:14:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:15:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:16:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:17:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:18:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:19:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:20:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:21:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:22:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:23:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:24:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:25:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:26:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:27:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:28:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:29:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:30:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:31:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:32:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:33:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:34:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:35:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:36:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:37:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:38:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:39:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:40:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:41:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:42:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:43:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:44:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:45:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:46:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:47:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:48:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:49:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:50:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:51:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:52:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:53:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:54:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:55:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:56:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:57:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:58:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 08:59:00,0,0.0,0.0,0,8,4,0,0
1970-01-09 09:00:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:01:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:02:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:03:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:04:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:05:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:06:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:07:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:08:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:09:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:10:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:11:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:12:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:13:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:14:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:15:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:16:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:17:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:18:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:19:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:20:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:21:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:22:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:23:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:24:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:25:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:26:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:27:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:28:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:29:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:30:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:31:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:32:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:33:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:34:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:35:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:36:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:37:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:38:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:39:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:40:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:41:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:42:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:43:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:44:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:45:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:46:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:47:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:48:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:49:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:50:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:51:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:52:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:53:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:54:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:55:00,0,0.0,0.0,0,9,4,1,0
1970-01-09 09:56:00,0,0.0,0.0,0,9,4,1,0
